title,sku,DESCRIPTION,price_for_25,price_for_100,price_for_250,price_for_500,price_for_1000,net_price,net_price_bundle
"28 x 16 x 12"" Shipping Boxes",BS281612,32 ECT,2.61,2.61,2.52,2.41,2.33,$52.20 ,20/Bundle
"28 x 16 x 14"" Shipping Boxes",BS281614,32 ECT,2.95,2.95,2.83,2.71,2.59,$59.00 ,20/Bundle
"28 x 17 x 5"" Shipping Boxes",BS281705,32 ECT,2.13,2.13,2.02,1.95,1.87,$42.60 ,20/Bundle
"28 x 18 x 12"" Shipping Boxes",BS281812,32 ECT,2.86,2.86,2.75,2.64,2.53,$57.20 ,20/Bundle
"28 x 18 x 18"" Shipping Boxes",BS281818,32 ECT,3.45,3.45,3.28,3.15,3.01,$69.00 ,20/Bundle
"28 x 20 x 12"" Shipping Boxes",BS282012,32 ECT,3.41,3.41,3.26,3.14,3,$68.20 ,20/Bundle
"28 x 20 x 20"" Shipping Boxes",BS282020,32 ECT,3.97,3.97,3.81,3.65,3.51,$79.40 ,20/Bundle
"28 x 20 x 24"" Multi-Depth Boxes",BS282024MD,"Multi-Depth: 22, 20, 18, 16, 14"" • 32 ECT",4.86,4.86,4.65,4.47,4.27,$97.20 ,20/Bundle
"28 x 20 x 25"" Shipping Boxes",BS282025,32 ECT,4.76,4.76,4.57,4.36,4.19,$95.20 ,20/Bundle
"28 x 24 x 6"" Shipping Boxes",BS282406,32 ECT,3.57,3.57,3.4,3.26,3.14,$71.40 ,20/Bundle
"28 x 28 x 6"" Shipping Boxes",BS282806,32 ECT,4.33,4.33,4.15,3.97,3.83,$86.60 ,20/Bundle
"28 x 28 x 12"" Shipping Boxes",BS282812,32 ECT,5.09,5.09,4.85,4.65,4.48,$101.80 ,20/Bundle
"28 x 28 x 20"" Shipping Boxes",BS282820,32 ECT,6.04,6.04,5.78,5.53,5.34,$120.80 ,20/Bundle
"28 x 28 x 28"" Shipping Boxes",BS282828,32 ECT,5.99,5.99,5.99,5.99,5.99,$119.80 ,20/Bundle
"29 x 17 x 5"" Shipping Boxes",BS291705,32 ECT,2.13,2.13,2.04,1.95,1.87,$42.60 ,20/Bundle
"29 x 17 x 9"" Shipping Boxes",BS291709,32 ECT,2.57,2.57,2.44,2.34,2.25,$51.40 ,20/Bundle
"29 x 17 x 12"" Shipping Boxes",BS291712,32 ECT,2.98,2.98,2.84,2.74,2.61,$59.60 ,20/Bundle
"29 x 17 x 15"" Shipping Boxes",BS291715,32 ECT,3.08,3.08,2.94,2.82,2.7,$61.60 ,20/Bundle
"29 x 17 x 20"" Shipping Boxes",BS291720,32 ECT,3.52,3.52,3.37,3.24,3.11,$70.40 ,20/Bundle
"30 x 5 x 24"" Side-Loading Boxes",BS300524FOL,FOL • 32 ECT,2.34,2.34,2.34,2.34,2.34,$46.80 ,20/Bundle
"30 x 5 x 30"" Side-Loading Boxes",BS300530FOL,FOL • 32 ECT,2.67,2.67,2.67,2.67,2.67,$53.40 ,20/Bundle
"30 x 6 x 6"" Shipping Boxes",BS300606,32 ECT,1.18,1.18,1.11,1.08,1.04,$29.50 ,25/Bundle
"30 x 8 x 8"" Shipping Boxes",BS300808,32 ECT,1.35,1.35,1.26,1.23,1.18,$33.75 ,25/Bundle
"30 x 10 x 10"" Shipping Boxes",BS301010,32 ECT,1.74,1.74,1.65,1.6,1.51,$34.80 ,20/Bundle
"30 x 12 x 12"" Shipping Boxes",BS301212,32 ECT,2.17,2.17,2.07,1.99,1.9,$43.40 ,20/Bundle
"30 x 14 x 7"" Shipping Boxes",BS301407,32 ECT,2,2,1.9,1.84,1.76,$40.00 ,20/Bundle
"30 x 14 x 10"" Shipping Boxes",BS301410,32 ECT,2.26,2.26,2.17,2.08,2,$45.20 ,20/Bundle
"30 x 15 x 15"" Shipping Boxes",BS301515,32 ECT,3,3,2.89,2.75,2.66,$60.00 ,20/Bundle
"30 x 17 x 16"" Shipping Boxes",BS301716,32 ECT,3.23,3.23,3.09,2.96,2.84,$64.60 ,20/Bundle
"30 x 17 x 16"" Multi-Depth Boxes",BS301716MD,"Multi-Depth: 14, 12, 10"" • 32 ECT",3.46,3.46,3.32,3.16,3.02,$69.20 ,20/Bundle
"30 x 18 x 18"" Shipping Boxes",BS301818,32 ECT,3.48,3.48,3.33,3.18,3.07,$69.60 ,20/Bundle
"30 x 20 x 6"" Shipping Boxes",BS302006,32 ECT,2.71,2.71,2.59,2.51,2.4,$54.20 ,20/Bundle
"30 x 20 x 10"" Shipping Boxes",BS302010,32 ECT,3.12,3.12,2.99,2.85,2.75,$62.40 ,20/Bundle
"30 x 20 x 12"" Shipping Boxes",BS302012,32 ECT,3.66,3.66,3.5,3.35,3.22,$73.20 ,20/Bundle
"30 x 20 x 20"" Shipping Boxes",BS302020,32 ECT,4.43,4.43,4.24,4.07,3.9,$88.60 ,20/Bundle
"30 x 24 x 10"" Shipping Boxes",BS302410,32 ECT,4,4,3.83,3.67,3.51,$80.00 ,20/Bundle
"30 x 24 x 12"" Shipping Boxes",BS302412,32 ECT,4.42,4.42,4.23,4.04,3.9,$88.40 ,20/Bundle
"30 x 30 x 6"" Shipping Boxes",BS303006,32 ECT,4.69,4.69,4.49,4.29,4.11,$93.80 ,20/Bundle
"30 x 30 x 8"" Shipping Boxes",BS303008,32 ECT,5.17,5.17,4.94,4.74,4.54,$103.40 ,20/Bundle
"30 x 30 x 10"" Shipping Boxes",BS303010,32 ECT,5.19,5.19,4.99,4.75,4.75,$77.85 ,15/Bundle
"30 x 30 x 12"" Shipping Boxes",BS303012,32 ECT,5.45,5.45,5.23,5.01,5.01,$81.75 ,15/Bundle
"30 x 30 x 16"" Shipping Boxes",BS303016,32 ECT,6.23,6.23,5.97,5.71,5.49,$124.60 ,20/Bundle
"30 x 30 x 25"" Shipping Boxes",BS303025,32 ECT,7.41,7.41,7.11,6.8,6.53,$37.05 ,5/Bundle
"30 x 30 x 30"" Shipping Boxes",BS303030,32 ECT,7.67,7.67,7.67,7.67,7.67,$38.35 ,5/Bundle
"32 x 6 x 6"" Shipping Boxes",BS320606,32 ECT,1.24,1.24,1.19,1.12,1.09,$31.00 ,25/Bundle
"32 x 8 x 8"" Shipping Boxes",BS320808,32 ECT,1.4,1.4,1.35,1.29,1.24,$35.00 ,25/Bundle
"32 x 12 x 10"" Shipping Boxes",BS321210,32 ECT,2.08,2.08,2,1.9,1.84,$41.60 ,20/Bundle
"32 x 12 x 12"" Shipping Boxes",BS321212,32 ECT,2.26,2.26,2.17,2.08,2,$45.20 ,20/Bundle
"32 x 18 x 8"" Shipping Boxes",BS321808,32 ECT,2.76,2.76,2.65,2.53,2.43,$55.20 ,20/Bundle
"32 x 18 x 12"" Shipping Boxes",BS321812,32 ECT,3.12,3.12,2.99,2.85,2.75,$62.40 ,20/Bundle
"32 x 32 x 32"" Shipping Boxes",BS323232,32 ECT,8.68,8.68,8.68,8.68,8.68,$43.40 ,5/Bundle
"34 x 10 x 6"" Shipping Boxes",BS341006,32 ECT,1.67,1.67,1.61,1.54,1.49,$33.40 ,20/Bundle
"34 x 34 x 34"" Shipping Boxes",BS343434,32 ECT,9.78,9.78,9.78,9.78,9.78,$48.90 ,5/Bundle
"35 x 23 x 22"" Shipping Boxes",BS352322,32 ECT,5.9,5.9,5.64,5.41,5.19,$88.50 ,15/Bundle
"36 x 5 x 24"" Side-Loading Boxes",BS360524FOL,FOL • 32 ECT,3.01,3.01,3.01,3.01,3.01,$60.20 ,20/Bundle
"36 x 5 x 30"" Side-Loading Boxes",BS360530FOL,FOL • 32 ECT,3.19,3.19,3.19,3.19,3.19,$63.80 ,20/Bundle
"36 x 5 x 36"" Side-Loading Boxes",BS360536FOL,FOL • 32 ECT,3.59,3.59,3.59,3.59,3.59,$71.80 ,20/Bundle
"36 x 6 x 6"" Shipping Boxes",BS360606,Golf Clubs • 32 ECT,1.36,1.36,1.31,1.25,1.2,$34.00 ,25/Bundle
"36 x 8 x 4"" Shipping Boxes",BS360804,Golf Clubs • 32 ECT,1.19,1.19,1.12,1.09,1.06,$29.75 ,25/Bundle
"36 x 8 x 8"" Shipping Boxes",BS360808,Golf Clubs • 32 ECT,1.54,1.54,1.46,1.43,1.35,$38.50 ,25/Bundle
"36 x 10 x 10"" Shipping Boxes",BS361010,Golf Clubs • 32 ECT,1.94,1.94,1.86,1.79,1.71,$38.80 ,20/Bundle
"36 x 12 x 4"" Shipping Boxes",BS361204,32 ECT,2.02,2.02,1.94,1.86,1.79,$40.40 ,20/Bundle
"36 x 12 x 10"" Shipping Boxes",BS361210,32 ECT,2.43,2.43,2.34,2.24,2.15,$48.60 ,20/Bundle
