Name,Phone No,Site Address,Site City,Site State,Site zip,Location hours,Storage Hours,Features,Benfits,Unit name,Description,Price
Ultimate Storage,(615) 806-6955,458 Bell Rd,['Nashville'],[' TN '],['37217'],"['Mon-Sat: 9 am - 5 pm', 'Sun: 9 am - 12 pm']",['Mon-Sun: 9 am - 9 pm'],"['Total account management', 'Electronic gate access', 'U-Haul trucks & trailers', 'Deliveries accepted', 'Interior storage units', 'Lighted units', 'RV/boat storage', 'Drive-up access', 'Alarm system', 'Intercom system', 'Carts and dollies', 'Short and long term rentals', 'Boxes & moving supplies', 'Video Surveillance', 'Vehicle storage', 'Fenced/walled perimeter', 'Online payments', 'We do NOT participate in the U-Haul 1 month free promotion', 'Low cost insurance available', 'Onsite fax and photocopy']","['', '1St Month Free:', '\n                        ']","[""Small | 5' x 10' x 10'""]",['Interior Lower Level Street Level Lift No Climate Rollup'],['$60.00']
U-Haul Moving & Storage of Nashville,(615) 736-5231,506 Fesslers Ln,['Nashville'],[' TN '],['37210'],"['Mon-Thur: 7 am - 7 pm', 'Fri: 7 am - 8 pm', 'Sat: 7 am - 7 pm', 'Sun: 9 am - 5 pm']",['Mon-Sun: 5 am - 10 pm'],"['Climate Controlled: Just Like Your Home', 'Covered Loading/Unloading', 'Individually Alarmed Rooms', 'Room Sizes For Every Need', 'Wine Storage Available', 'Affordable Rates', 'Free Use of Loading Carts', 'Storage Access 5AM-10PM', 'Free Online Account Management', 'Electronically Controlled Access', 'Free Automatic Payment Plans', 'Personal Access Code', 'Indoor Storage: Twice the Protection and Security', 'Convenient Elevator Access', 'SafeStor Protection', 'Clean Customer Restrooms', 'Package Signing and Receiving', '24-Hour Access Available', 'No Deposit or Admin Fee', 'Open 7 Days A Week!', '24-Hour Video Monitoring', 'Your Lock/Your Key', 'Extra Tall Rooms - 10ft']","['', 'No Deposit Or Admin Fee:', '    ', '\nNo Deposit Required and $0.00 Admin Fee                        ', '', '1 Month Free:', '    ', '\nAsk about our 1 month free self-storage offer with any truck or trailer reservation!                        ']","[""Small | 5' x 7.5' x 10'"", ""Small | 2.5' x 2.5' x 2.5'"", ""Small | 2.5' x 2.5' x 5'"", ""Small | 2.5' x 2.5' x 2.5'"", ""Small | 2.5' x 2.5' x 2.5'"", ""Small | 2.5' x 2.5' x 5'"", ""Small | 3' x 3' x 5'"", ""Small | 5' x 2.5' x 5'"", ""Small | 3' x 3' x 5'""]","['Interior 2nd Floor Street Level Elevator Climate Rollup', 'Wine 1st Floor Upper Level Climate', 'Wine 1st Floor Lower Level Climate', 'Wine 1st Floor Middle Level Climate', 'Wine 1st Floor Lower Level Climate', 'Wine 1st Floor Upper Level Climate', 'Wine 1st Floor Upper Level Climate', 'Wine 1st Floor Upper Level Climate', 'Wine 1st Floor Lower Level Climate']","['$74.95', '$9.95', '$9.95', '$9.95', '$9.95', '$9.95', '$14.95', '$14.95', '$14.95']"
U-Haul Moving & Storage of Cool Springs,(615) 372-0301,1691 Mallory Ln,['Brentwood'],[' TN '],['37027'],"['Mon-Thur: 7 am - 7 pm', 'Fri: 7 am - 8 pm', 'Sat: 7 am - 7 pm', 'Sun: 9 am - 5 pm']",['Mon-Sun: 5 am - 10 pm'],"['No Deposit or Admin Fee', 'Individually Alarmed Rooms', 'Electronically Controlled Access', '24-Hour Video Monitoring', 'Indoor Storage: Twice the Protection and Security', 'Climate Controlled: Just Like Your Home', 'Free Online Account Management', 'Make Your Payment Online!', 'Ask About Our Automatic Credit-Card Payment Plan', 'Free Use of Loading Carts', 'Move-In Trucks', 'Padlocks, Boxes, Packing Supplies', 'SafeStor Protection', 'Clean - Dry - Secure', 'Package Signing and Receiving', 'Your Lock/Your Key', 'Room Sizes For Every Need', 'Propane Filled Here', '24-Hour Access Available', 'Customer Re-Use Center: Neighbors Helping Neighbors', 'Convenient Elevator Access', 'Storage Access 5AM-10PM', 'Covered Loading/Unloading', 'Clean Customer Restrooms', 'Onsite Forklift Operators: Pallets and Large Shipments', 'Open 7 Days A Week!', 'Palletized Shipment Receiving']","['', 'No Deposit Or Admin Fee:', '    ', '\nNo Deposit Required and $0.00 Admin Fee                        ', '', '1 Month Free:', '    ', '\nAsk about our 1 month free self-storage offer with a one way truck or trailer reservation!                        ']","[""Small | 5' x 5' x 10'"", ""Small | 5' x 5' x 10'"", ""Small | 5' x 5' x 10'"", ""Small | 5' x 10' x 10'"", ""Small | 5' x 10' x 10'""]","['Interior 1st Floor Street Level No Climate', 'Interior 3rd Floor Street Level Climate', 'Interior 2nd Floor Street Level Climate', 'Interior 3rd Floor Street Level Climate', 'Interior 2nd Floor Street Level Climate']","['$74.95', '$79.95', '$79.95', '$104.95', '$104.95']"
U-Haul Moving & Storage of Hillwood Plaza,(615) 356-2550,3741 Annex Ave,['Nashville'],[' TN '],['37209'],"['Mon-Thur: 7 am - 7 pm', 'Fri: 7 am - 8 pm', 'Sat: 7 am - 7 pm', 'Sun: 9 am - 5 pm']",['Mon-Sun: 5 am - 10 pm'],"['No Deposit or Admin Fee', 'Electronically Controlled Access', '24-Hour Video Monitoring', 'Indoor Storage: Twice the Protection and Security', 'Climate Controlled: Just Like Your Home', 'Gate Remotes Available', 'Free Online Account Management', 'Make Your Payment Online!', 'Ask About Our Automatic Credit-Card Payment Plan', 'Open 7 Days', 'Clean - Dry - Secure', 'Free Use of Loading Carts', 'SafeStor Protection', 'Move-In Trucks', 'Package Signing and Receiving', 'Padlocks, Boxes, Packing Supplies', 'Extended & 24-Hour Access', 'Customer Re-Use Center: Neighbors Helping Neighbors', 'Your Lock/Your Key', 'Affordable Rates', 'Covered Loading/Unloading', 'Room Sizes For Every Need']","['', 'No Deposit Or Admin Fee:', '    ', '\nNo Deposit Required and $0.00 Admin Fee                        ', '', '1 Month Free:', '    ', '\nAsk about our 1 month free self-storage offer with a one way truck or trailer reservation!                        ']","[""Small | 5' x 5' x 8'"", ""Small | 5' x 5' x 8'"", ""Small | 5' x 5' x 8'"", ""Small | 5' x 10' x 8'""]","['Interior 2nd Floor Street Level No Climate Bonus', 'Interior 2nd Floor Street Level No Climate', 'Interior 2nd Floor Street Level Climate', 'Interior 2nd Floor Street Level No Climate']","['$64.95', '$69.95', '$84.95', '$99.95']"
U-Haul Moving & Storage of Madison,(615) 868-5081,121 Moving Center Ct,['Madison'],[' TN '],['37115'],"['Mon-Thur: 7 am - 7 pm', 'Fri: 7 am - 8 pm', 'Sat: 7 am - 7 pm', 'Sun: 9 am - 5 pm']",['Mon-Sun: 5 am - 10 pm'],"['Package Signing and Receiving', 'Clean - Dry - Secure', 'Free Use of Loading Carts', '24-Hour Video Monitoring', 'Indoor Storage: Twice the Protection and Security', 'Free Online Account Management', 'Make Your Payment Online!', 'Drive-Up Loading and Unloading', 'Free Automatic Payment Plans', 'Low Cost Insurance', 'No Deposit or Admin Fee', 'Affordable Rates', '24-Hour Access Available', 'Clean Customer Restroom', 'Customer Re-Use Center: Neighbors Helping Neighbors', 'Electronically Controlled Access', 'Individually Alarmed Rooms', 'Room Sizes For Every Need', 'Propane Filled Here', 'Your Lock/Your Key', 'Secure Gated Perimeter', 'Wide Paved Aisles', 'Open 7 Days A Week!', 'Onsite Forklift Operators: Pallets and Large Shipments', 'Storage Access 5AM-10PM', 'Palletized Shipment Receiving']","['', '1 Month Free:', '    ', '\nAsk about our 1 month free self-storage offer with a one way truck or trailer reservation!                        ', '', 'No Deposit Or Admin Fee:', '    ', '\nNo Deposit Required and $0.00 Admin Fee                        ']","[""Small | 5' x 10' x 8'"", ""Small | 5' x 10' x 8'""]","['Interior 2nd Floor Street Level No Climate', 'Drive Up 1st Floor Outside Level No Climate']","['$84.95', '$94.95']"
U-Haul Moving & Storage at Mt Juliet,(615) 754-6246,14535 Lebanon Rd,['Old Hickory'],[' TN '],['37138'],"['Mon-Thur: 7 am - 7 pm', 'Fri: 7 am - 8 pm', 'Sat: 7 am - 7 pm', 'Sun: 9 am - 5 pm']",['Mon-Sun: 5 am - 10 pm'],"['Electronically Controlled Access', 'Move-In Trucks', 'Re-Use Area: Neighbors Helping Neighbors', 'Convenient Elevator Access', 'Ask About Our Automatic Credit-Card Payment Plan', 'Affordable Rates', 'Room Sizes For Every Need', 'Indoor Storage: Twice the Protection and Security', 'Free Online Account Management', 'Padlocks, Boxes, Packing Supplies', 'Your Lock/Your Key', 'Covered Loading/Unloading', 'Make Your Payment Online!', '24-Hour Video Monitoring', 'Clean - Dry - Secure', 'Package Signing and Receiving', 'Climate Controlled: Just Like Your Home', 'Clean Customer Restrooms', 'SafeStor Protection', 'Free Use of Loading Carts', 'No Deposit or Admin Fee', 'Storage Access 5AM-10PM', 'Open 7 Days A Week!', '24-Hour Access Available']","['', '1 Month Free:', '    ', '\nAsk about our 1 month free self-storage offer with a one way truck or trailer reservation!                        ', '', 'No Deposit Or Admin Fee:', '    ', '\nNo Deposit Required and $0.00 Admin Fee                        ']","[""Small | 5' x 10' x 8'"", ""Small | 5' x 10' x 8'""]","['Interior 1st Floor Street Level No Climate', 'Interior 2nd Floor Street Level Climate']","['$84.95', '$89.95']"
U-Haul Moving & Storage of Rivergate,(629) 221-2502,1515 Gallatin Pike N,['Madison'],[' TN '],['37115'],"['Mon-Thur: 7 am - 7 pm', 'Fri: 7 am - 8 pm', 'Sat: 7 am - 7 pm', 'Sun: 9 am - 5 pm']",['Mon-Sun: 5 am - 10 pm'],"['Electronically Controlled Access', 'Indoor Loading & Unloading', 'Climate Controlled: Just Like Your Home', '24-Hour Access Available', '24-Hour Video Monitoring', 'Affordable Rates', 'Ask About Our Automatic Credit-Card Payment Plan', 'Clean - Dry - Secure', 'Clean Customer Restrooms', 'Convenient Elevator Access', 'Customer Re-Use Center: Neighbors Helping Neighbors', 'Free Automatic Payment Plans', 'Free Online Account Management', 'Free Use of Loading Carts', 'Individually Alarmed Rooms', 'Indoor Storage: Twice the Protection and Security', 'Low Cost Insurance', 'Package Signing and Receiving', 'Room Sizes For Every Need', 'Your Lock/Your Key']","['', 'No Deposit Or Admin Fee:', '    ', '\nNo Deposit Required and $0.00 Admin Fee                        ', '', '1 Month Free:', '    ', '\nAsk about our 1 month free self-storage offer with a one way truck or trailer reservation!                        ']","[""Small | 5' x 5' x 10'"", ""Small | 5' x 10' x 10'""]","['Interior 1st Floor Street Level Climate', 'Interior 1st Floor Street Level Climate']","['$49.95', '$69.95']"
